cohort,feature_set,model,repeat_index,roc_auc,pr_auc,brier,balanced_accuracy_at_0_5
all_native_missing_n312,combined_native_missing,xgboost_native_missing,9,0.5519413287316652,0.4544198264227327,0.2438811177658448,0.5454702329594479
locked7_overlap_n219,v7_label_selected_locked7,logistic_l2,0,0.6615290839428771,0.556761054870663,0.2315142618507001,0.6056687565308255
locked7_overlap_n219,v7_label_selected_locked7,svm_rbf,0,0.6054946011842565,0.49315463919134933,0.23223634964196685,0.5198537095088819
locked7_overlap_n219,v7_label_selected_locked7,xgboost_fixed,0,0.640282131661442,0.5130496892304091,0.22924989807843393,0.5816353187042842
locked7_overlap_n219,v7_label_selected_locked7,logistic_l2,1,0.6540404040404042,0.5524393875015022,0.23243844894576918,0.5978317659352141
locked7_overlap_n219,v7_label_selected_locked7,svm_rbf,1,0.5798502264019505,0.4925080962806842,0.2352609103993857,0.5522466039707419
locked7_overlap_n219,v7_label_selected_locked7,xgboost_fixed,1,0.587251828631139,0.4676142843049761,0.24283772942125112,0.553030303030303
locked7_overlap_n219,v7_label_selected_locked7,logistic_l2,2,0.6648380355276907,0.5289581970973041,0.23205366353108373,0.6226489028213166
locked7_overlap_n219,v7_label_selected_locked7,svm_rbf,2,0.6029258098223617,0.4666639311923825,0.23847061372963807,0.49464472309299895
locked7_overlap_n219,v7_label_selected_locked7,xgboost_fixed,2,0.5785440613026821,0.46434868299124515,0.24528980376144943,0.5374869383490073
locked7_overlap_n219,v7_label_selected_locked7,logistic_l2,3,0.6422849181469872,0.538103601592931,0.23410361446647918,0.616901776384535
locked7_overlap_n219,v7_label_selected_locked7,svm_rbf,3,0.5701846046673633,0.4666520965717314,0.23649614257343243,0.5177638453500523
locked7_overlap_n219,v7_label_selected_locked7,xgboost_fixed,3,0.6166840822013235,0.4781109569617287,0.23683346226250063,0.5090125391849529
locked7_overlap_n219,v7_label_selected_locked7,logistic_l2,4,0.6749390456287008,0.5569693374857762,0.22798126904473082,0.6111546499477534
locked7_overlap_n219,v7_label_selected_locked7,svm_rbf,4,0.5709683037269244,0.4569456297483859,0.23683757052609916,0.5100574712643678
locked7_overlap_n219,v7_label_selected_locked7,xgboost_fixed,4,0.6115464994775339,0.4800860896210628,0.23598514782107846,0.5397074190177639
locked7_overlap_n219,v7_label_selected_locked7,logistic_l2,5,0.6436781609195402,0.5192036333494991,0.23633423158817957,0.5978317659352141
locked7_overlap_n219,v7_label_selected_locked7,svm_rbf,5,0.5844653430860328,0.4559240014559045,0.23800506306779629,0.5178944618599791
locked7_overlap_n219,v7_label_selected_locked7,xgboost_fixed,5,0.5748867990247302,0.45757934425865915,0.24583075007124036,0.5566875653082549
locked7_overlap_n219,v7_label_selected_locked7,logistic_l2,6,0.6462034134447927,0.5414940009052777,0.23413729405870015,0.6129832810867293
locked7_overlap_n219,v7_label_selected_locked7,svm_rbf,6,0.6066266109369557,0.4919522845953053,0.23217051561315155,0.5137147335423198
locked7_overlap_n219,v7_label_selected_locked7,xgboost_fixed,6,0.6313131313131313,0.5070605023414166,0.23202386785134935,0.5873824451410659
locked7_overlap_n219,v7_label_selected_locked7,logistic_l2,7,0.6757227446882619,0.5608185094134535,0.22798418730108436,0.6188610240334378
locked7_overlap_n219,v7_label_selected_locked7,svm_rbf,7,0.6193834900731452,0.4977756275662857,0.23090070707596963,0.523380355276907
locked7_overlap_n219,v7_label_selected_locked7,xgboost_fixed,7,0.6154649947753396,0.47764867109857667,0.23586968043655732,0.5664838035527691
locked7_overlap_n219,v7_label_selected_locked7,logistic_l2,8,0.6596133751306166,0.5483809763699317,0.23132177176124677,0.6208202716823407
locked7_overlap_n219,v7_label_selected_locked7,svm_rbf,8,0.6025774991292233,0.4689286139839935,0.23222667337810582,0.5007836990595611
locked7_overlap_n219,v7_label_selected_locked7,xgboost_fixed,8,0.5795889933820968,0.4542354036683705,0.2469682522937392,0.522466039707419
locked7_overlap_n219,v7_label_selected_locked7,logistic_l2,9,0.6708463949843261,0.5474674483325037,0.22887572842137355,0.6206896551724137
locked7_overlap_n219,v7_label_selected_locked7,svm_rbf,9,0.589690003483107,0.4923900359501656,0.23509279742097605,0.529649947753396
locked7_overlap_n219,v7_label_selected_locked7,xgboost_fixed,9,0.6041448972483455,0.4925809081957193,0.23912272571408577,0.5415360501567398
locked7_complete4_overlap_n68,clinical,elasticnet_logistic,0,0.3967391304347826,0.2838869169598841,0.27290844658456664,0.4545454545454546
locked7_complete4_overlap_n68,v7_label_selected_locked7,elasticnet_logistic,0,0.7223320158102766,0.5379346125887493,0.22466442276119764,0.7104743083003953
locked7_complete4_overlap_n68,combined_locked7_clinical,elasticnet_logistic,0,0.6828063241106719,0.45496531251432515,0.2344490878948311,0.633399209486166
locked7_complete4_overlap_n68,clinical,elasticnet_logistic,1,0.40711462450592883,0.28479161593739977,0.27895993085227805,0.441699604743083
locked7_complete4_overlap_n68,v7_label_selected_locked7,elasticnet_logistic,1,0.7243083003952568,0.5696414148884499,0.21062532744290607,0.6650197628458498
locked7_complete4_overlap_n68,combined_locked7_clinical,elasticnet_logistic,1,0.7233201581027668,0.5522480439433332,0.2143492084419398,0.6877470355731226
locked7_complete4_overlap_n68,clinical,elasticnet_logistic,2,0.45800395256917,0.3382986161039381,0.2526403019532757,0.4199604743083004
locked7_complete4_overlap_n68,v7_label_selected_locked7,elasticnet_logistic,2,0.5938735177865613,0.44901142971905794,0.24096329623157142,0.5978260869565217
locked7_complete4_overlap_n68,combined_locked7_clinical,elasticnet_logistic,2,0.6650197628458498,0.4969663206073896,0.21707435219626142,0.5632411067193676
locked7_complete4_overlap_n68,clinical,elasticnet_logistic,3,0.5291501976284585,0.3577792679948069,0.2457083037495736,0.4505928853754941
locked7_complete4_overlap_n68,v7_label_selected_locked7,elasticnet_logistic,3,0.6679841897233202,0.5245645138330963,0.21729906776496383,0.6413043478260869
locked7_complete4_overlap_n68,combined_locked7_clinical,elasticnet_logistic,3,0.7233201581027668,0.5730607027779039,0.20764316322260756,0.6640316205533596
